speaker	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	negative	positive	line	episodes
Jackie	0.2568	0.3243	0.2297	0.2297	0.2027	0.2838	0.1351	0.3649	0.5405	0.527	74	4
Izzy	0.2273	0.2045	0.2273	0.2273	0.0682	0.25	0.0227	0.2045	0.4318	0.1818	44	2
Bob	0.2174	0.1739	0.0652	0.1522	0.2391	0.2174	0.0652	0.2609	0.3913	0.3913	46	6
Poppie	0.2143	0.4286	0.1905	0.2619	0.4286	0.3333	0.2619	0.4762	0.5238	0.6429	42	3
Sid	0.2143	0.1667	0.381	0.2381	0.1667	0.2381	0.0952	0.1905	0.5714	0.2857	42	5
Peterman	0.2124	0.3161	0.1865	0.2539	0.3264	0.2124	0.1762	0.3472	0.4974	0.5648	193	19
Hoyt	0.2121	0.2576	0.0606	0.1667	0.0455	0.1667	0.1212	0.3182	0.3939	0.303	66	1
Steinbrenner	0.2059	0.4118	0.1765	0.2745	0.3922	0.2451	0.2745	0.4608	0.5196	0.7059	102	9
Sally	0.2045	0.1591	0.25	0.3182	0.25	0.25	0.2273	0.2955	0.4773	0.4091	44	3
Babu	0.1636	0.2364	0.0909	0.1636	0.2727	0.2	0.1455	0.2909	0.2545	0.5273	55	2
Manager	0.1628	0.0465	0.1163	0.1395	0.0465	0.186	0.1163	0.1628	0.2558	0.1395	43	8
Mickey	0.1441	0.1712	0.1712	0.1982	0.1081	0.2252	0.1081	0.1261	0.4324	0.3153	111	5
Newman	0.1424	0.2324	0.1004	0.1469	0.2009	0.1079	0.1034	0.2729	0.2954	0.3793	667	45
Leo	0.137	0.2192	0.0822	0.0959	0.1644	0.0548	0.0959	0.2192	0.1781	0.2055	73	7
Cynthia	0.125	0.275	0.125	0.125	0.175	0.275	0.15	0.2	0.4	0.325	40	3
Frank	0.1233	0.1826	0.1096	0.1507	0.1963	0.1758	0.089	0.2534	0.3059	0.3721	438	27
Wilhelm	0.119	0.1905	0.1429	0.1786	0.1548	0.2143	0.131	0.4524	0.2857	0.619	84	11
Jane	0.1129	0.129	0.129	0.0968	0.1129	0.0645	0.0645	0.0806	0.2258	0.1613	62	3
Mike	0.1077	0.2154	0.0615	0.0923	0.1692	0.0462	0.0769	0.2769	0.1692	0.3231	65	5
Kruger	0.1053	0.193	0.1228	0.1053	0.2632	0.2105	0.1404	0.2456	0.3333	0.4035	57	4
Puddy	0.1049	0.142	0.0864	0.0802	0.0741	0.0988	0.0556	0.1111	0.2284	0.142	162	9
Lloyd	0.0972	0.2361	0.0556	0.0972	0.1667	0.1111	0.0417	0.1389	0.1667	0.25	72	3
Steve	0.0952	0.1429	0.1905	0.0476	0.119	0.0476	0.0714	0.119	0.2857	0.1905	42	3
Kramer	0.0949	0.191	0.0746	0.1172	0.1567	0.1017	0.0902	0.1894	0.2276	0.2962	6765	173
Ray	0.0943	0.1887	0.1132	0.1509	0.3962	0.1509	0.1698	0.3396	0.3208	0.8491	53	2
Mr.pitt	0.093	0.2093	0.0465	0.0698	0.0698	0.0698	0.0465	0.0465	0.2558	0.1163	43	4
Jerry	0.091	0.1868	0.0791	0.1129	0.1404	0.1098	0.0929	0.1858	0.2266	0.2766	14990	176
Morty	0.0907	0.2051	0.0789	0.1105	0.1124	0.1105	0.0828	0.1716	0.1933	0.2387	507	21
Mr.ross	0.0893	0.2321	0.0714	0.0893	0.2321	0.1071	0.0536	0.2679	0.2321	0.375	56	5
George	0.0882	0.2052	0.0725	0.12	0.1693	0.1171	0.1011	0.2172	0.2277	0.3296	9838	174
Jack	0.0806	0.1935	0.0806	0.0968	0.121	0.129	0.1129	0.1613	0.25	0.2177	124	7
Bania	0.0784	0.1961	0.0294	0.0392	0.1863	0.0686	0.1275	0.1961	0.1176	0.4314	102	5
Lippman	0.0769	0.1923	0.0513	0.0769	0.1282	0.0641	0.0769	0.2821	0.1923	0.2821	78	8
Estelle	0.0764	0.1944	0.0556	0.0868	0.1806	0.1181	0.0729	0.2257	0.2014	0.3264	288	25
Michael	0.075	0.05	0.075	0.05	0.125	0.025	0.075	0.25	0.2	0.2	40	6
Sueellen	0.0732	0.2927	0.0732	0.0488	0.2439	0.0732	0.1951	0.2439	0.1463	0.3171	41	4
Elaine	0.073	0.1602	0.0655	0.1001	0.13	0.0903	0.0784	0.1656	0.1869	0.2539	8128	172
Helen	0.0696	0.1498	0.0338	0.0717	0.1118	0.1013	0.0823	0.1582	0.1498	0.192	474	21
Keith	0.0682	0.1818	0.0909	0.1136	0.2273	0.2273	0.1591	0.1364	0.3182	0.2955	44	3
Tony	0.0612	0.1837	0.0408	0.102	0.102	0.0816	0	0.1429	0.2449	0.3673	49	3
Susan	0.0602	0.1309	0.0654	0.0942	0.1361	0.0864	0.0524	0.1257	0.1702	0.2147	382	29
Tim	0.05	0.2	0.0625	0.0875	0.1375	0.1	0.0875	0.1625	0.175	0.2875	80	6
Vanessa	0.0476	0.1429	0	0.0238	0.0714	0.0476	0.0476	0.0952	0.119	0.119	42	2
Carol	0.0455	0.1818	0.0606	0.0455	0.2121	0.0606	0.0606	0.1212	0.1364	0.2879	66	9
David	0.0444	0.0889	0.0667	0.0667	0.0889	0.0889	0.0444	0.1556	0.1556	0.1778	45	4
Meryl	0.0444	0.0889	0.0444	0.0667	0.0889	0.0889	0.0889	0.0667	0.1333	0.1556	45	1
Russell	0.0441	0.1912	0.0441	0.0441	0.1618	0.0882	0.1471	0.2647	0.0735	0.3088	68	5
Mrs.ross	0.0435	0.1304	0.1304	0.1304	0.1522	0.1304	0.0435	0.1087	0.2391	0.2826	46	5
Sheila	0.0417	0.2708	0.1667	0.125	0.2292	0.0833	0.1667	0.2083	0.2083	0.3125	48	3
Marla	0.0408	0.1633	0.1224	0.0816	0.1429	0.0816	0.1837	0.2041	0.2041	0.1837	49	3
Nina	0.0323	0.2097	0.0323	0.0323	0.1129	0.0484	0.0968	0.1613	0.0968	0.1774	62	3
Joel	0.0308	0.1385	0.0462	0.0769	0.1077	0.0923	0.0308	0.1538	0.2154	0.2308	65	2
Mr.lippman	0.0244	0.1951	0.0488	0.0244	0.122	0.0488	0.0488	0.1707	0.0976	0.3659	41	3
Saleswoman	0.0244	0.0732	0	0.0488	0.0732	0.0244	0	0.0976	0.0732	0.1707	41	5
Kevin	0.0227	0.0682	0.0227	0	0.0227	0.0227	0.0227	0.0455	0.0682	0.1364	44	2
