Episode,Title,Season,Elaine,George,Jerry,Kramer
1,"Good News, Bad News",1,0,70,94,1
2,The Stakeout,1,53,28,156,6
3,The Robbery,1,57,68,110,18
4,Male Unbonding,1,19,51,102,24
5,The Stock Tip,1,29,44,102,18
6,The Ex-Girlfriend,2,23,55,107,37
7,The Pony Remark,2,31,12,90,23
8,The Jacket,2,33,53,97,35
9,The Phone Message,2,15,89,92,9
10,The Apartment,2,51,43,102,29
11,The Statue,2,41,56,87,30
12,The Revenge,2,22,83,83,32
13,The Heart Attack,2,18,59,60,18
14,The Deal,2,82,52,134,19
15,The Baby Shower,2,40,43,75,29
16,The Chinese Restaurant,2,60,48,75,0
17,The Busboy,2,50,49,57,23
18,The Note,3,45,91,108,24
19,The Truth,3,52,68,78,32
20,The Pen,3,41,0,107,0
21,The Dog,3,68,53,93,21
22,The Library,3,26,37,74,33
23,The Parking Garage,3,59,65,73,51
24,The Cafe,3,80,77,92,30
25,The Tape,3,49,99,107,45
26,The Nose Job,3,41,69,47,35
27,The Stranded,3,34,76,121,14
28,The Alternate Side,3,59,40,113,50
29,The Red Dot,3,60,86,90,8
30,The Subway,3,24,41,33,16
31,The Pez Dispenser,3,36,75,79,27
32,The Suicide,3,26,55,111,46
33,The Fix-Up,3,80,69,99,16
34,The Boyfriend (1),3,44,63,118,35
35,The Boyfriend (2),3,34,44,53,32
36,The Limo,3,31,84,68,30
37,The Good Samaritan,3,77,58,107,28
38,The Letter,3,54,55,65,32
39,The Parking Space,3,63,96,85,58
40,The Keys,3,33,62,84,56
41,The Trip (1),4,0,79,62,38
42,The Trip (2),4,0,83,90,34
43,The Pitch,4,3,100,151,38
44,The Ticket,4,3,81,110,60
45,The Wallet (1),4,45,36,91,36
46,The Watch (2),4,29,51,72,47
47,The Bubble Boy,4,46,68,100,24
48,The Cheever Letters,4,27,88,102,27
49,The Opera,4,48,36,94,55
50,The Virgin,4,24,76,118,34
51,The Contest,4,66,77,91,29
52,The Airport,4,50,37,53,33
53,The Pick,4,46,50,79,50
54,The Movie,4,56,43,35,15
55,The Visa,4,59,57,102,18
56,The Shoes,4,36,57,88,23
57,The Outing,4,16,66,64,12
58,The Old Man,4,28,34,62,34
59,The Implant,4,44,34,77,35
60,The Junior Mint,4,42,68,144,58
61,The Smelly Car,4,35,57,65,13
62,The Handicap Spot,4,58,73,81,51
63,The Pilot (1),4,44,50,87,31
64,The Pilot (2),4,28,44,76,12
65,The Mango,5,69,64,133,47
66,The Puffy Shirt,5,25,67,71,48
67,The Glasses,5,47,72,96,39
68,The Sniffing Accountant,5,61,32,80,49
69,The Bris,5,44,43,70,46
70,The Lip Reader,5,33,75,79,42
71,The Non-Fat Yogurt,5,63,55,74,47
72,The Barber,5,27,51,76,35
73,The Masseuse,5,57,64,97,29
74,The Cigar Store Indian,5,60,44,80,37
75,The Conversion,5,38,60,76,34
76,The Stall,5,80,48,94,56
77,The Dinner Party,5,92,80,75,59
78,The Marine Biologist,5,75,53,106,33
79,The Pie,5,45,53,77,36
80,The Stand-In,5,36,57,82,43
81,The Wife,5,58,25,91,24
82,The Raincoats,5,44,100,149,72
84,The Fire,5,26,54,71,34
85,The Hamptons,5,48,67,79,38
86,The Opposite,5,60,43,65,24
87,The Chaperone,6,39,41,67,42
88,The Big Salad,6,59,40,89,27
89,The Pledge Drive,6,53,36,97,39
90,The Chinese Woman,6,69,39,91,43
91,The Couch,6,56,41,77,37
92,The Gymnast,6,44,42,81,46
93,The Soup,6,51,68,133,38
94,The Mom & Pop Store,6,31,54,76,46
95,The Secretary,6,44,45,92,51
96,The Race,6,45,50,62,30
97,The Switch,6,51,81,74,41
98,The Label Maker,6,42,72,112,28
99,The Scofflaw,6,41,93,77,42
102,The Beard,6,72,51,91,38
103,The Kiss Hello,6,54,47,124,48
104,The Doorman,6,47,41,63,48
